ts,cpu_percent,mem_used_mb,mem_percent
1764838982.6280482,11.8,12285.62890625,76.5
1764838983.1364057,0.6,12285.75390625,76.5
1764838983.6480076,0.4,12282.4140625,76.5
1764838984.1593332,2.1,12271.51171875,76.4
1764838984.6710546,1.5,12269.2109375,76.4
1764838985.1846063,0.8,12267.0546875,76.4
1764838985.6985707,0.6,12266.46484375,76.4
1764838986.2128062,0.4,12265.234375,76.4
1764838986.7270312,0.2,12240.3203125,76.3
1764838987.241788,0.0,12239.44140625,76.2
1764838987.7563722,0.4,12226.57421875,76.2
1764838988.272582,0.2,12225.84765625,76.2
1764838988.7866318,0.4,12223.98828125,76.2
1764838989.3006375,0.4,12228.7890625,76.2
1764838989.8150532,0.4,12227.04296875,76.2
1764838990.3292255,0.2,12226.26171875,76.2
1764838990.8443363,2.6,12232.328125,76.2
1764838991.3578358,2.6,12237.5625,76.2
1764838991.8706675,1.7,12234.58203125,76.2
1764838992.385102,2.6,12236.59375,76.2
1764838992.896634,4.4,12255.3828125,76.3
1764838993.4088502,1.7,12257.90625,76.4
1764838993.9227428,1.5,12412.015625,77.3
1764838994.4449353,3.5,12529.63671875,78.1
1764838994.957059,7.4,12557.796875,78.2
1764838995.4834213,1.9,12588.4765625,78.4
1764838995.9963264,3.1,12594.59765625,78.5
1764838996.5102038,0.9,12591.5703125,78.4
1764838997.0237813,1.3,12582.328125,78.4
1764838997.536904,0.6,12571.3125,78.3
1764838998.0500152,1.7,12570.33203125,78.3
1764838998.5623653,1.3,12571.109375,78.3
1764838999.0762405,0.8,12569.75390625,78.3
1764838999.5924451,3.9,12568.29296875,78.3
1764839000.1051073,4.4,12572.484375,78.3
1764839000.6212726,2.8,12567.64453125,78.3
1764839001.1370292,3.4,12571.94140625,78.3
1764839001.650076,2.6,12579.26953125,78.4
1764839002.163394,0.9,12577.9375,78.4
1764839002.6806476,2.2,12577.4296875,78.4
1764839003.1941957,1.6,12576.6484375,78.3
1764839003.7097948,1.3,12571.76953125,78.3
1764839004.2254417,3.2,12575.9375,78.3
1764839004.7410872,2.9,12572.58984375,78.3
1764839005.2547095,1.7,12579.4609375,78.4
1764839005.768352,1.1,12558.41796875,78.2
1764839006.280919,2.1,12568.57421875,78.3
1764839006.7938654,3.6,12566.453125,78.3
1764839007.3080466,0.6,12565.42578125,78.3
1764839007.820953,1.9,12567.19921875,78.3
1764839008.3336785,0.6,12566.17578125,78.3
1764839008.848429,2.6,12564.40625,78.3
1764839009.3735683,4.9,12568.25,78.3
1764839009.8939865,2.8,12564.078125,78.3
1764839010.4075203,2.5,12568.109375,78.3
1764839010.9227357,1.7,12565.7109375,78.3
1764839011.4365432,1.9,12564.875,78.3
1764839011.9497392,3.0,12574.00390625,78.3
1764839012.4617925,3.2,12567.78515625,78.3
1764839012.9762332,0.9,12571.80859375,78.3
1764839013.488873,0.6,12569.96875,78.3
1764839014.0010946,2.9,12586.69921875,78.4
1764839014.5161846,3.6,12585.8515625,78.4
1764839015.0311902,2.1,12581.421875,78.4
1764839015.5467768,1.7,12588.1015625,78.4
1764839016.0643983,2.8,12583.9609375,78.4
1764839016.5798812,3.4,12588.05859375,78.4
1764839017.0940409,3.2,12587.953125,78.4
1764839017.6072416,1.2,12588.16015625,78.4
1764839018.1214416,2.1,12588.29296875,78.4
1764839018.6343927,0.9,12587.96484375,78.4
1764839019.1505885,1.5,12588.87109375,78.4
1764839019.6633067,1.0,12588.453125,78.4
1764839020.1782172,1.1,12588.58984375,78.4
1764839020.692925,0.4,12587.91796875,78.4
1764839021.2079248,2.8,12588.73828125,78.4
1764839021.7206762,2.4,12588.1484375,78.4
1764839022.2338264,2.1,12588.0,78.4
1764839022.747287,3.6,12566.95703125,78.3
1764839023.2629943,1.3,12572.2578125,78.3
1764839023.7779012,3.4,12570.92578125,78.3
1764839024.2947762,1.7,12572.1015625,78.3
1764839024.809002,2.1,12570.0078125,78.3
1764839025.3236225,2.3,12571.19140625,78.3
1764839025.837177,1.9,12566.99609375,78.3
1764839026.3504243,2.1,12570.35546875,78.3
1764839026.8641467,2.4,12566.15234375,78.3
1764839027.3794956,2.3,12570.3515625,78.3
1764839027.8934197,2.8,12564.38671875,78.3
1764839028.4074297,1.1,12569.875,78.3
1764839028.9221697,2.6,12563.3359375,78.3
1764839029.4362807,2.2,12588.59765625,78.4
1764839029.9527562,4.3,12635.98828125,78.7
1764839030.466264,2.9,12642.05859375,78.8
1764839030.9813442,5.6,12641.796875,78.8
1764839031.4981298,3.1,12644.21484375,78.8
1764839032.011769,4.1,12643.609375,78.8
1764839032.5282075,1.0,12645.64453125,78.8
1764839033.0447524,2.8,12643.3671875,78.8
1764839033.559597,2.5,12645.41796875,78.8
1764839034.0745542,2.4,12642.84765625,78.8
1764839034.5891113,1.1,12645.546875,78.8
1764839035.1035805,1.9,12642.88671875,78.8
1764839035.6162271,0.6,12645.8671875,78.8
1764839036.1305285,1.3,12643.63671875,78.8
1764839036.643676,1.3,12645.97265625,78.8
1764839037.157433,1.5,12643.9609375,78.8
1764839037.6704023,2.1,12646.1015625,78.8
1764839038.188525,1.3,12643.58984375,78.8
1764839038.702313,0.6,12638.5859375,78.7
1764839039.2177494,2.3,12635.16796875,78.7
1764839039.730495,2.1,12638.56640625,78.7
1764839040.24518,3.1,12630.97265625,78.7
1764839040.7587283,4.3,12639.51953125,78.7
1764839041.2745671,3.1,12636.09765625,78.7
1764839041.7888412,1.7,12639.265625,78.7
1764839042.3035805,3.0,12635.21875,78.7
